;;;;;;;;
哪一個選項的組成方式和「拿出竹筒」相同？;關上窗子;出去跑步;準時出門;神奇魔法;國小二上;康軒;7;神奇的竹筒飯
下面「著」的字音，哪一個和其他三個不同？;看「著」書;「著」火;「著」想;「著」迷;國小二上;康軒;7;神奇的竹筒飯
下面哪一組語詞不是相反詞？　;明天／明日;方便／麻煩;方便／麻煩;下山／上山;國小二上;康軒;7;神奇的竹筒飯
「用來生火」中「生火」的相反詞是什麼？　;熄火;放火;發火;救火;國小二上;康軒;7;神奇的竹筒飯
下面哪一個字不能和「院」組成語詞？　;望;後;醫;庭;國小二上;康軒;7;神奇的竹筒飯
選出部首不同的字：;爸;太;奇;天;國小二上;康軒;7;神奇的竹筒飯
請選出和「奇」同部首的字;天;可;吃;池;國小二上;康軒;7;神奇的竹筒飯
下面哪一個字是「左右」合起來的字？　;餓;屋;奇;星;國小二上;康軒;7;神奇的竹筒飯
下面哪一個「　」中的讀音與「設備」的「備」相同？　;棉「被」;「背」包;「幫」忙;「陪」伴;國小二上;康軒;7;神奇的竹筒飯
下面哪一個「　」中的讀音與「精神」的「神」相同？　;沒「什」麼;「聲」音;「生」氣;「伸」手;國小二上;康軒;7;神奇的竹筒飯
下面「奇」的字音，哪一個和其他三個不同？;奇數;神奇;奇怪;奇異;國小二上;康軒;7;神奇的竹筒飯
下面哪個詞不是「神奇」的相反詞;基本;平常;普通;尋常;國小二上;康軒;7;神奇的竹筒飯
下面哪一個「　」中的讀音與「竹筒飯」的「筒」相同？　;水「桶」;共「同」;兒「童」;普「通」;國小二上;康軒;7;神奇的竹筒飯
下面哪個詞是「戶外」的相反詞;室內;上面;地下;門口;國小二上;康軒;7;神奇的竹筒飯
哥哥在「    」考試，空格中可以填入什麼詞;準備;放棄;取消;預習;國小二上;康軒;7;神奇的竹筒飯
不用「煱」子，也能「主」飯，「    」內正確的字為何？;鍋煮;括主;鍋主;括煮;國小二上;康軒;7;神奇的竹筒飯
下面哪個詞是「祖先」的相反詞;後代;先人;主人;長輩;國小二上;康軒;7;神奇的竹筒飯
工人在「功做」，「  」內正確的字為何？;工作;公作;攻作;恭作;國小二上;康軒;7;神奇的竹筒飯
下面哪個詞是「餓」的相反詞;飽;滿;渴;長;國小二上;康軒;7;神奇的竹筒飯
竹筒飯「    」香氣，空格中可以填入什麼詞;飄出;放出;漂出;漏出;國小二上;康軒;7;神奇的竹筒飯
花朵散發出「    」清香，空格中可以填入什麼詞;陣陣;片片;朵朵;絲絲;國小二上;康軒;7;神奇的竹筒飯
下面「好」的字音，哪一個和其他三個不同？;喜好;好朋友;好人;好棒;國小二上;康軒;7;神奇的竹筒飯
下面「好」的字音，哪一個和其他三個不同？;好朋友;喜好;好奇;好惡;國小二上;康軒;7;神奇的竹筒飯
周星馳的電影「  」搞笑，「 」很有創意。空格可填什麼;不但，還;是，還是;可是，卻;有，還有;國小二上;康軒;7;神奇的竹筒飯
「神」和「飯」的部首是什麼;礻，食;礻，反;申，食;申，反;國小二上;康軒;7;神奇的竹筒飯
下面哪一個字不能和「南」組成語詞？;生;瓜;方;邊;國小二上;康軒;8;不一樣的故事
哪一個選項的組成方式和「保平安」相同？;重安全;便當盒;好故事;竹筒飯;國小二上;康軒;8;不一樣的故事
「竹子的香味」中「香味」的相似詞是什麼？　;香氣;臭味;香水;香甜;國小二上;康軒;8;不一樣的故事
下面哪一個語詞和「剛好」的意思相反？;不巧;恰巧;正好;正巧;國小二上;康軒;8;不一樣的故事
下面哪一個語詞和「中午」的意思相近？;正午;下午;上午;午夜;國小二上;康軒;8;不一樣的故事
選出部首不同的字：;平;午;南;千;國小二上;康軒;8;不一樣的故事
請選出和「南」同部首的字：;半;年;正;平;國小二上;康軒;8;不一樣的故事
下面選項「　」中的字，哪一個用字錯誤？;「坪」板電腦;國「中」生;大「客」車;翻山「越」嶺;國小二上;康軒;8;不一樣的故事
下面選項「　」中的字，哪一個用字錯誤？;「五」間新聞;「味」覺靈敏;「捲」進風波;「南」瓜湯;國小二上;康軒;8;不一樣的故事
下面「校」的字音，哪一個和其他三個不同？;「校」稿;「校」警;「校」友;學「校」;國小二上;康軒;8;不一樣的故事
哪一個選項的組成方式和「泡一下水」不同？　;跑一下子;閉一下眼;看一下書;找一下筆;國小二上;康軒;9;美味的一堂課
哪一個選項的組成方式和「童年的生活」相同？;時間的腳步;輕快的跳舞;好好的吃飯;匆忙的回家;國小二上;康軒;9;美味的一堂課
「老師幫忙把春捲發給大家」句子中「幫忙」的相似詞是什麼？　;幫助; 幫手;忙碌;穿幫;國小二上;康軒;9;美味的一堂課
「好好吃」中「好吃」的相反詞是什麼？　;難吃;新鮮;美味;可口;國小二上;康軒;9;美味的一堂課
下面哪一個字不能和「各」組成語詞？　;性;別;自;種;國小二上;康軒;9;美味的一堂課
選出部首不同的字：;圓;同;喘;呱;國小二上;康軒;9;美味的一堂課
請選出和「形」同部首的字？　;彩;海;冷;照;國小二上;康軒;9;美味的一堂課
下面選項「　」中的字，哪一個用字錯誤？　;兒「同」;「圓」規;「軟」綿綿;「米」粒;國小二上;康軒;9;美味的一堂課
下面哪一個「　」中的讀音與「白紙」的「紙」相同？　;「只」有;「子」孫;「知」道;「直」線;國小二上;康軒;9;美味的一堂課
下面「種」的字音，哪一個和其他三個不同？　;「種」樹;「種」子;三「種」;「種」類;國小二上;康軒;9;美味的一堂課
哪一個選項的組成方式和「高興的笑」相同？;小心的寫;白色的雲;火紅的太陽;精彩的故事;國小二上;康軒;10;加加減減
哪一個選項的組成方式和「嘟著嘴」不同？;接著問;舉起手;閉著眼;敲著腿;國小二上;康軒;10;加加減減
「突然下雨了」中「突然」的相似詞是什麼？　; 忽然; 自然;當然;然後;國小二上;康軒;10;加加減減
「答對了」的相反詞是什麼？　;答錯了;不是了;忘記了;答應了;國小二上;康軒;10;加加減減
下面哪一個語詞和「趕緊」的意思相反？　;緩慢;趕忙;趕快; 連忙;國小二上;康軒;10;加加減減
下面哪一個語詞和「回答」的意思相近？　;答覆;答案;問答;答應;國小二上;康軒;10;加加減減
下面哪一個字不能和「識」組成語詞？　;情;認;相;知;國小二上;康軒;10;加加減減
選出部首不同的字;減;哭;哥;咬;國小二上;康軒;10;加加減減
哪一個選項中的字都有「言」的部分？;認／識;百／口;回／答;哥／搖;國小二上;康軒;10;加加減減
  下面選項「　」中的字，哪一個用字錯誤？;「諘」哥;不要「緊」;回「答」;「姐」弟;國小二上;康軒;10;加加減減
請選出和「悶」同部首的字？;情;閒;闊;鬥;國小二上;康軒;11;鬥大仙
下面「悶」的字音，哪一個和其他三個不同？　;「悶」雷;「悶」虧;納「悶」;生「悶」氣;國小二上;康軒;11;鬥大仙
哪一個選項的組成方式和「熱鬧的市場」不同？　;開心的大笑;有趣的故事;可愛的小狗;溫暖的天氣;國小二上;康軒;11;鬥大仙
「開闊的海洋」中「開闊」的相似詞是什麼？　; 寬闊;開心;寬容;擴大;國小二上;康軒;11;鬥大仙
  下面哪一個字不能和「候」組成語詞？　;等;時;鳥;面;國小二上;康軒;11;鬥大仙
選出部首不同的字：;閒;胸;背;腳;國小二上;康軒;11;鬥大仙
請選出和「左」同部首的字？;工;分;有;右;國小二上;康軒;11;鬥大仙
  下面選項「　」中的字，哪一個用字錯誤？　;「佑」邊;「左」手;「仙」女;「市」政府;國小二上;康軒;11;鬥大仙
  下面選項「　」中的字，哪一個用字錯誤？　;「候」來;挺「胸」;「復」活;道「理」;國小二上;康軒;11;鬥大仙
下面哪一個「　」中的讀音與「城市」的「市」相同？　;本「事」;「絲」線;「四」人;「思」念;國小二上;康軒;11;鬥大仙
第12課的課名是什麼？;詠鵝;山村;游子吟;相思;國小二上;康軒;12;詠鵝
《詠鵝》的作者是谁？;駱賓王;孟郊;王维;邵雍;國小二上;康軒;12;詠鵝
《詠鵝》的“曲项”指的是什麼？;彎曲着脖子;美妙的歌曲;弯曲的河流;彎曲的巷子;國小二上;康軒;12;詠鵝
《詠鵝》里的“掌”指的是什麼？;鵝掌;人掌;手掌;鴨掌;國小二上;康軒;12;詠鵝
《詠鵝》里的“撥”的是什麼？;划動;玩水;噴水;移動;國小二上;康軒;12;詠鵝
《詠鵝》的第一句是？;鵝鵝鵝;曲項向天歌;白毛浮綠水;紅掌撥清波;國小二上;康軒;12;詠鵝
《詠鵝》的第四句是？;紅掌撥清波;鵝鵝鵝;曲項向天歌;白毛浮綠水;國小二上;康軒;12;詠鵝
“曲项向天歌”  的意思是鹅彎着_________,昂着頭，朝着天空高聲__________。;脖子，唱歌;唱歌，脖子;頭，游泳;游泳，頭;國小二上;康軒;12;詠鵝
鹅有一身什么颜色的羽毛？;雪白;綠色;紅色;黑色;國小二上;康軒;12;詠鵝
鹅擁有红红的__________。;腳掌;脖子;頭;羽毛;國小二上;康軒;12;詠鵝
